KEY,English,Chinese,Vietnamese,German,Spanish,French,Russian,Portuguese,Italian,Korean,Turkish
Location_International,International,全球,Quốc Tế,International,Internacional,International,Международный,Internacional,Internazionale,International,
Location_Algeria,Algeria,阿尔及利亚,Algeria,Algerien,Argelia,Algérie,Алжир,Argélia,Algeria,Algeria,
Location_Argentina,Argentina,阿根廷,Argentina,Argentinien,Argentina,Argentine,Аргентина,Argentina,Argentina,Argentina,
Location_Austraila,Austraila,澳大利亚,Úc,Australien,Australia,Australie,Австралия,Austrália,Australia,Austraila,
Location_Austria,Austria,奥地利,Áo,Österreich,Austria,Autriche,Австрия,Áustria,Austria,Austria,
Location_Azerbaijan,Azerbaijan,阿塞拜疆,Azerbaijan,Aserbaidschan,Azerbaiyán,Azerbaïdjan,Азербайджан,Azerbaijão,Azerbaigian,Azerbaijan,
Location_Bahrain,Bahrain,巴林,Bahrain,Bahrain,Bahréin,Bahreïn,Бахрейн,Bahrein,Bahrein,Bahrain,
Location_Bangladesh,Bangladesh,孟加拉国,Bangladesh,Bangladesch,Bangladés,Bangladesh,Бангладеш,Bangladesh,Bangladesh,Bangladesh,
Location_Belarus,Belarus,白俄罗斯,Belarus,Weißrussland,Bielorrusia,Biélorussie,Беларусь,Belarus,Bielorussia,Belarus,
Location_Belgium,Belgium,比利时,Bỉ,Belgien,Bélgica,Belgique,Бельгия,Bélgica,Belgio,Belgium,Belçika
Location_Brazil,Brazil,巴西,Brazil,Brasilien,Brasil,Brésil,Бразилия,Brasil,Brasile,Brazil,
Location_Brunei,Brunei,文莱,Brunei,Brunei,Brunéi,Brunei,Бруней,Brunei,Brunei,Brunei,
Location_Bulgaria,Bulgaria,保加利亚,Bulgaria,Bulgarien,Bulgaria,Bulgarie,Болгария,Bulgária,Bulgaria,Bulgaria,
Location_Cambodia,Cambodia,柬埔寨,Campuchia,Kambodscha,Camboya,Cambodge,Камбоджа,Camboja,Cambogia,Cambodia,
Location_Canada,Canada,加拿大,Canada,Kanada,Canadá,Canada,Канада,Canadá,Canada,Canada,
Location_Chile,Chile,智利,Chile,Chile,Chile,Chili,Чили,Chile,Cile,Chile,
Location_China,China,中国,Trung Quốc,China,China,Chine,Китай,China,Cina,China,
Location_Colombia,Colombia,哥伦比亚,Colombia,Kolumbien,Colombia,Colombie,Колумбия,Colômbia,Colombia,Colombia,
Location_CostaRica,Costa Rica,哥斯达黎加,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Коста-Рика,Costa Rica,Costa Rica,Costa Rica,
Location_Croatia,Croatia,克罗地亚,Croatia,Kroatien,Croacia,Croatie,Хорватия,Croácia,Croazia,Croatia,
Location_Cuba,Cuba,古巴,Cuba,Kuba,Cuba,Cuba,Куба,Cuba,Cuba,Cuba,
Location_CzechRepublic,Czech Republic,捷克,Séc,Tschechische Republik,Rep. Checa,République tchèque,Чехия,República Tcheca,Repubblica Ceca,Czech Republic,
Location_Denmark,Denmark,丹麦,Đan Mạch,Dänemark,Dinamarca,Danemark,Дания,Dinamarca,Danimarca,Denmark,
Location_Ecuador,Ecuador,厄瓜多尔,Ecuador,Ecuador,Ecuador,Équateur,Эквадор,Equador,Ecuador,Ecuador,
Location_Egypt,Egypt,埃及,Ai Cập,Ägypten,Egipto,Égypte,Египет,Egito,Egitto,Egypt,
Location_Estonia,Estonia,爱沙尼亚,Estonia,Estland,Estonia,Estonie,Эстония,Estônia,Estonia,Estonia,
Location_Ethiopia,Ethiopia,埃塞俄比亚,Ethiopia,Äthiopien,Etiopía,Éthiopie,Эфиопия,Etiópia,Etiopia,Ethiopia,
Location_France,France,法国,Pháp,Frankreich,Francia,France,Франция,França,Francia,France,
Location_Finland,Finland,芬兰,Phần Lan,Finnland,Finlandia,Finlande,Финляндия,Finlândia,Finlandia,Finland,
Location_Germany,Germany,德国,Đức,Deutschland,Alemania,Allemagne,Германия,Alemanha,Germania,Germany,
Location_Ghana,Ghana,加纳,Ghana,Ghana,Ghana,Ghana,Гана,Gana,Ghana,Ghana,
Location_Greece,Greece,希腊,Hy Lạp,Griechenland,Grecia,Grèce,Греция,Grécia,Grecia,Greece,
Location_Guam,Guam,关岛,Guam,Guam,Guam,Guam,Гуам,Guam,Guam,Guam,
Location_Honduras,Honduras,洪都拉斯,Honduras,Honduras,Honduras,Honduras,Гондурас,Honduras,Honduras,Honduras,
Location_Hungary,Hungary,匈牙利,Hungary,Ungarn,Hungría,Hongrie,Венгрия,Hungria,Ungheria,Hungary,
Location_Iceland,Iceland,冰岛,Iceland,Island,Islandia,Islande,Исландия,Islândia,Islanda,Iceland,
Location_India,India,印度,Ấn Độ,Indien,India,Inde,Индия,Índia,India,India,
Location_Indonesia,Indonesia,印度尼西亚,Indonesia,Indonesien,Indonesia,Indonésie,Индонезия,Indonésia,Indonesia,Indonesia,
Location_Iran,Iran,伊朗,Iran,Iran,Irán,Iran,Иран,Irã,Iran,Iran,
Location_Iraq,Iraq,伊拉克,Iraq,Irak,Irak,Irak,Ирак,Iraque,Iraq,Iraq,
Location_Ireland,Ireland,爱尔兰,Ireland,Irland,Irlanda,Irlande,Ирландия,Irlanda,Irlanda,Ireland,
Location_Israel,Israel,以色列,Israel,Israel,Israel,Israël,Израиль,Israel,Israele,Israel,
Location_Italy,Italy,意大利,Ý,Italien,Italia,Italie,Италия,Itália,Italia,Italy,
Location_Jamaica,Jamaica,牙买加,Jamaica,Jamaika,Jamaica,Jamaïque,Ямайка,Jamaica,Giamaica,Jamaica,
Location_Japan,Japan,日本,Nhật,Japan,Japón,Japon,Япония,Japão,Giappone,Japan,
Location_Jordan,Jordan,约旦,Jordan,Jordanien,Jordania,Jordanie,Иордания,Jordânia,Giordania,Jordan,
Location_Kenya,Kenya,肯尼亚,Kenya,Kenia,Kenia,Kenya,Кения,Quênia,Kenya,Kenya,
Location_Korea,Korea,韩国,Hàn Quốc,Korea,Corea,Corée,Корея,Coreia,Repubblica di Corea,Korea,
Location_Kuwait,Kuwait,科威特,Kuwait,Kuwait,Kuwait,Koweït,Кувейт,Kuwait,Kuwait,Kuwait,
Location_Laos,Laos,老挝,Lào,Laos,Laos,Laos,Лаос,Laos,Laos,Laos,
Location_Latvia,Latvia,拉托维亚,Latvia,Lettland,Letonia,Lettonie,Латвия,Letônia,Lettonia,Latvia,
Location_Luxembourg,Luxembourg,卢森堡,Luxembourg,Luxemburg,Luxemburgo,Luxembourg,Люксембург,Luxemburgo,Lussemburgo,Luxembourg,
Location_Macedonia,Macedonia,马其顿,Macedonia,Mazedonien,Macedonia,Macédoine,Македония,Macedônia,Macedonia,Macedonia,
Location_Madagascar,Madagascar,马达加斯加,Madagascar,Madagaskar,Madagascar,Madagascar,Мадагаскар,Madagascar,Madagascar,Madagascar,
Location_Malaysia,Malaysia,马来西亚,Malaysia,Malaysia,Malasia,Malaisie,Малайзия,Malásia,Malaysia,Malaysia,
Location_Maldives,Maldives,马尔代夫,Maldives,Malediven,Maldivas,Maldives,Мальдивы,Maldivas,Maldive,Maldives,
Location_Mexico,Mexico,墨西哥,Mexico,Mexiko,México,Mexique,Мексика,México,Messico,Mexico,
Location_Monaco,Monaco,摩纳哥,Monaco,Monaco,Mónaco,Monaco,Монако,Mônaco,Monaco,Monaco,
Location_Mongolia,Mongolia,蒙古,Mông Cổ,Mongolei,Mongolia,Mongolie,Монголия,Mongólia,Mongolia,Mongolia,
Location_Morocco,Morocco,摩洛哥,Morocco,Marokko,Marruecos,Maroc,Марокко,Marrocos,Marocco,Morocco,
Location_Myanmar,Myanmar,缅甸,Myanmar,Myanmar,Myanmar,Birmanie,Мьянма,Myanmar,Myanmar,Myanmar,
Location_Nepal,Nepal,尼泊尔,Nepal,Nepal,Nepal,Népal,Непал,Nepal,Nepal,Nepal,
Location_Netherlands,Netherlands,荷兰,Hà Lan,Niederlande,Holanda,Pays-Bas,Нидерланды,Holanda,Paesi Bassi,Netherlands,
Location_NewZealand,New Zealand,新西兰,New Zealand,Neuseeland,Nueva Zelanda,Nouvelle-Zélande,Новая Зеландия,Nova Zelândia,Nuova Zelanda,New Zealand,
Location_Nigeria,Nigeria,尼日利亚,Nigeria,Nigeria,Nigeria,Nigeria,Нигерия,Nigéria,Nigeria,Nigeria,
Location_Norway,Norway,尼日利亚,Na Uy,Norwegen,Noruega,Norvège,Норвегия,Noruega,Norvegia,Norveç,
Location_Oman,Oman,阿曼,Oman,Oman,Omán,Oman,Оман,Omã,Oman,Oman,
Location_Pakistan,Pakistan,巴基斯坦,Pakistan,Pakistan,Pakistán,Pakistan,Пакистан,Paquistão,Pakistan,Pakistan,
Location_Panama,Panama,巴拿马,Panama,Panama,Panamá,Panama,Панама,Panamá,Panama,Panama,
Location_PapuaNewGuinea,Papua New Guinea,巴布亚新几内亚,Papua New Guinea,Papua-Neuguinea,Papúa Nueva Guinea,Papouasie-Nouvelle-Guinée,Папуа — Новая Гвинея,Papua Nova Guiné,Papua Nuova Guinea,Papua New Guinea,
Location_Paraguay,Paraguay,巴拉圭,Paraguay,Paraguay,Paraguay,Paraguay,Парагвай,Paraguai,Paraguay,Paraguay,
Location_Peru,Peru,秘鲁,Peru,Peru,Perú,Pérou,Перу,Peru,Perù,Peru,
Location_Philipines,Philipines,菲律宾,Philipines,Philippinen,Filipinas,Philippines,Филиппины,Filipinas,Filippine,Philipines,
Location_Poland,Poland,波兰,Ba Lan,Polen,Polonia,Pologne,Польша,Polônia,Polonia,Poland,
Location_Portugal,Portugal,葡萄牙,Bồ Đào Nha,Portugal,Portugal,Portugal,Португалия,Portugal,Portogallo,Portugal,
Location_Qatar,Qatar,卡塔尔,Qatar,Katar,Catar,Qatar,Катар,Catar,Qatar,Qatar,
Location_RepublicofSouthAfrica,Republic of South Africa,南非共和国,Nam Phi,Südafrika,República de Sudáfrica,Afrique du Sud,Южно-Африканская Республика,República da África do Sul,Repubblica Sudafricana,Republic of South Africa,
Location_Romania,Romania,罗马尼亚,Romania,Rumänien,Rumanía,Roumanie,Румыния,Romênia,Romania,Romania,
Location_RussianFederation,Russian Federation,俄罗斯联邦,Nga,Russland,Federación Rusa,Russie,Россия,Federação Russa,Russia,Russian Federation,
Location_Rwanda,Rwanda,卢旺达,Rwanda,Ruanda,Ruanda,Rwanda,Руанда,Ruanda,Ruanda,Rwanda,
Location_SaudiArabia,Saudi Arabia,沙特阿拉伯,Saudi Arabia,Saudi-Arabien,Arabia Saudita,Arabie saoudite,Саудовская Аравия,Arábia Saudita,Arabia Saudita,Saudi Arabia,
Location_Senegal,Senegal,塞内加尔,Senegal,Senegal,Senegal,Sénégal,Сенегал,Senegal,Senegal,Senegal,
Location_Singapore,Singapore,新加坡,Singapore,Singapur,Singapur,Singapour,Сингапур,Cingapura,Singapore,Singapore,
Location_Slovakia,Slovakia,斯洛伐克,Slovakia,Slowakei,Eslovaquia,Slovaquie,Словакия,Eslováquia,Slovacchia,Slovakia,
Location_Slovenia,Slovenia,斯洛文尼亚,Slovenia,Slowenien,Eslovenia,Slovénie,Словения,Eslovênia,Slovenia,Slovenia,
Location_Spain,Spain,西班牙,Tây Ban Nha,Spanien,España,Espagne,Испания,Espanha,Spagna,Spain,
Location_SriLanka,Sri Lanka,斯里兰卡,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Шри-Ланка,Sri Lanka,Sri Lanka,Sri Lanka,
Location_Sudan,Sudan,苏丹,Sudan,Sudan,Sudán,Soudan,Судан,Sudão,Sudan,Sudan,
Location_Sweden,Sweden,瑞典,Thụy Điển,Schweden,Suecia,Suède,Швеция,Suécia,Svezia,Sweden,
Location_Swizerland,Swizerland,瑞士,Thụy Sĩ,Schweiz,Suiza,Suisse,Швейцария,Suíça,Svizzera,Swizerland,
Location_Syria,Syria,叙利亚,Syria,Syrien,Siria,Syrie,Сирия,Síria,Siria,Syria,
Location_Tanzania,Tanzania,坦桑尼亚,Tanzania,Tansania,Tanzania,Tanzanie,Танзания,Tanzânia,Tanzania,Tanzania,
Location_Thailand,Thailand,泰国,Thái Lan,Thailand,Tailandia,Thaïlande,Таиланд,Tailândia,Thailandia,Thailand,
Location_Togo,Togo,多哥,Togo,Togo,Togo,Togo,Того,Togo,Togo,Togo,
Location_TrinidasandTobago,Trinidas and Tobago,特立尼达和多巴哥,Trinidas và Tobago,Trinidad und Tobago,Trinidad y Tobago,Trinité-et-Tobago,Тринидад и Тобаго,Trinidad e Tobago,Trinidad e Tobago,Trinidas and Tobago,
Location_Tunisia,Tunisia,突尼斯,Tunisia,Tunesien,Túnez,Tunisie,Тунис,Tunísia,Tunisia,Tunisia,
Location_Turkey,Turkey,土耳其,Thổ Nhĩ Kỳ,Türkei,Turquía,Turquie,Турция,Turquia,Turchia,Turkey,
Location_UnitedArabEmirates,United Arab Emirates,阿拉伯联合酋长国,Các Tiểu Vương Quốc Ả Rập Thống Nhất,Vereinigte Arabische Emirate,Emiratos Árabes,Émirats arabes unis,Объединенные Арабские Эмираты,Emirados Árabes Unidos,Emirati Arabi Uniti,United Arab Emirates,
Location_UnitedStateofAmerica,United State of America,美国,Hoa Kỳ,Vereinigte Staaten von Amerika,Estados Unidos,États-Unis,США,Estados Unidos,Stati Uniti d'America,United State of America,
Location_Uganda,Uganda,乌干达,Uganda,Uganda,Uganda,Ouganda,Уганда,Uganda,Uganda,Uganda,
Location_Ukraine,Ukraine,乌克兰,Ukraine,Ukraine,Ucrania,Ukraine,Украина,Ucrânia,Ucraina,Ukraine,
Location_UnitedKingdom,United Kingdom,英国,Anh,Vereinigtes Königreich,Reino Unido,Royaume-Uni,Великобритания,Reino Unido,Regno Unito,United Kingdom,
Location_Uruguay,Uruguay,乌拉圭,Uruguay,Uruguay,Uruguay,Uruguay,Уругвай,Uruguai,Uruguay,Uruguay,
Location_Uzbekistan,Uzbekistan,乌兹别克斯坦,Uzbekistan,Usbekistan,Uzbekistán,Ouzbékistan,Узбекистан,Uzbequistão,Uzbekistan,Uzbekistan,
Location_Venezuela,Venezuela,委内瑞拉,Venezuela,Venezuela,Venezuela,Venezuela,Венесуэла,Venezuela,Venezuela,Venezuela,
Location_VietNam,Vietnam,越南,Việt Nam,Vietnam,Vietnam,Vietnam,Вьетнам,Vietnã,Vietnam,Vietnam,
Location_Yemen,Yemen,也门,Yemen,Jemen,Yemen,Yémen,Йемен,Iemen,Yemen,Yemen,
Location_Zambia,Zambia,赞比亚,Zambia,Sambia,Zambia,Zambie,Замбия,Zâmbia,Zambia,Zambia,
Location_Zimbabwe,Zimbabwe,津巴布韦,Zimbabwe,Simbabwe,Zimbabue,Zimbabwe,Зимбабве,Zimbábue,Zimbabwe,Zimbabwe,